Id,Label,Text,Sentiment,Pred
5.1388e+17,Positive,"@Kerahbeliebs Do me a favor and please rt or fave the tweet inside the link, THANK YOU LOL😊💕 https://t.co/SCWj7dVIYT",1.278,Neutral
5.13163e+17,Neutral,@mightyespinosa lmao okay ☺️☺️☺️👍👍 keep me updated next time you go .. I want to see how it goes 😊😊😊😊😊😊😊,2.979,Positive
5.14839e+17,Neutral,@cohorted I'm still a new blogger but would love any feedback &gt;&gt; http://t.co/MK931HmxLo 💃 #BBloggers #fbloggers #lbloggers,0.736,Positive
5.14154e+17,Neutral,someone come study for biology with me😂,0.221,Positive
5.14265e+17,Neutral,RT @SoDamnTrue: I want these so bad 😻🙀 http://t.co/YiPuCUw3d8,0.9650000000000001,Positive
5.11674e+17,Neutral,"growing up, every girl had wet dreams about lil fizz 😍💦",1.154,Positive
5.12004e+17,Neutral,@NokiaPilipinas here my answers  #AppsX2  #love ❤️ to win this 📱 #NokiaX2 po pls...  🙏 🙏 🙏 http://t.co/qhcu5nRZpf,1.581,Positive
5.118e+17,Negative,RT @CharlesWells89: Working in a school in Wansted in my own world then I went through the wrong door into a whole school assembly😳 young g…,0.018,Neutral
5.12266e+17,Positive,@SherryTkh_ hello miss u too see u soon okai💕 g n die pls,0.633,Neutral
5.14365e+17,Positive,@L__gaga__ omg yes 👌,0.564,Negative
5.12329e+17,Neutral,@_tombolton she was my science teacher in like year 8 and I was scared shitless of her😂,0.221,Negative
5.12112e+17,Neutral,RT @tayybayybeey: #BestFriendAppreciationTweet love these little shits 💖 http://t.co/QgRHjtmfVi,0.713,Positive
5.13518e+17,Neutral,RT @fIirtation: Muscular backs&gt;&gt;😍 http://t.co/AvFHprVx8R,0.678,Positive
5.13969e+17,Neutral,"@MelhemBoustani he's not, his lyrics are 😏",0.332,Negative
5.12484e+17,Neutral,"Hungloe Boys Aka First 48 Squad Cuzzo Mac, Bro Shad, And Me Myself Lol Thats A TBT Not Really Cause We Still That 😭😭😭",-0.279,Negative
5.14905e+17,Neutral,RT @mooosey123: You're an utter shit but one full of surprises and loveliness👌👌💩,1.0099999999999998,Positive
5.13762e+17,Negative,"please boris ? 😭

ILYSM 🙊💘

#BorisTo200K 

@BorisLaursen
 x79",1.057,Neutral
5.12824e+17,Positive,"You know what would be nice right now? _______. 😶❓
You know.. 😏 
🍁➡️🔥➡️😙💨➡️😄😏",2.827,Neutral
5.12821e+17,Negative,@lailonetaylor my life depended on it😌. My eyes forever closed,0.484,Positive
5.13047e+17,Neutral,"🍕🍕🍕🍕🍕

@Michael5SOS

Follow me

I'll give you free pizza

I love you😘

🍕🍕🍕🍕🍕
345",3.222,Positive
5.14948e+17,Neutral,@Harry_Styles you are so perfect it hurts😭😭,-0.186,Negative
5.11965e+17,Negative,She better go on 😂😂,0.442,Positive
5.13813e+17,Neutral,RT @MikaylaJoBaxley: And then Tupp nailed Brittany in the head 😂,0.221,Positive
5.11421e+17,Negative,Fuuuck It 💁,0.328,Neutral
5.12324e+17,Positive,RT @Harvey: Rt For A Slide Into Your Dms 😉🙈,0.897,Neutral
5.13078e+17,Neutral,@_Housepride since I was born Kj duh 💁,0.328,Positive
5.15141e+17,Positive,I wanna trace the universe on your palm🌌🌃,0.964,Neutral
5.14207e+17,Neutral,@paige51699 @chelseakate98 oh okay good ahahh😂😂,0.442,Positive
5.12608e+17,Neutral,💓good god💓 http://t.co/nIQsygQxDz,1.344,Positive
5.13369e+17,Negative,round 2 tonighttttt😍👅💦🍻,2.1430000000000002,Positive
5.14835e+17,Neutral,@ParkerHall_66 @BGeames I really just want to point out that I also have on Chacos and will probably wear them in the snow this year. 😉,0.464,Positive
5.13465e+17,Neutral,“@Bad_Bentley: http://t.co/97EcTBoqjz get my personal videos.... 💙 http://t.co/LehwCZirLg”,0.732,Positive
5.12645e+17,Neutral,"RT @BetsyDevine: There's other fish in the sea so take a swim. 🐠🐟 

You tryin to work it out.. save that for the gym. 👊

@thegame 👏👏👏",2.9779999999999998,Positive
5.1278e+17,Neutral,@OhGoshMyracle_ 😂so go delete it,0.221,Positive
5.14163e+17,Positive,Damnnn😂😨,0.08000000000000002,Negative
5.13214e+17,Neutral,@sami_grace OMG haha that was great! Thank you for that! 😂,0.221,Positive
5.14652e+17,Negative,"ion like when people who're taken comment ""😍😍😍"" or ask for my kik like df stop",2.0340000000000003,Neutral
5.14511e+17,Neutral,please hurry 🐬☀️🍹✈️💆 http://t.co/eFkd9oO3C5,1.36,Positive
5.13961e+17,Neutral,"@wallypodj @juliaespino_ YOU LAUGHED AT YOURSELF HARDER THAN WE DID, DUDE 😂",0.221,Positive
5.11647e+17,Neutral,Literally been working on it for an hour 😂,0.221,Positive
5.14487e+17,Neutral,Sike the only bad bitch in my chevy is me 😂😘😍,1.601,Positive
5.1184e+17,Neutral,"Hey, @KISSFMPhoenix  Check out: @HeffronDrive #HappyMistakes #HDNicotine http://t.co/Mz7c8MHnt2  http://t.co/wkGj1YzF72 👍",0.522,Positive
5.12129e+17,Positive,Let a nigga try me 😴👌,0.48299999999999993,Negative
5.14135e+17,Neutral,@Maaaarissav It's way before Meredith is pregnant 😒😒,-0.75,Negative
5.14057e+17,Negative,Np: RUDE💗 NO STILL MEANS NO ! 😉😉,1.587,Positive
5.12849e+17,Positive,@sonaeus thankyou yeay. follback?😋,0.634,Neutral
5.15001e+17,Positive,"👌 ""Make more moves, less announcements""",0.564,Negative
5.1425e+17,Positive,@_Tina_Nguyen 💁 thats right,0.328,Neutral
5.12971e+17,Positive,Got a 90 on tht trig test 😏,0.332,Negative
5.12998e+17,Negative,. @sukaul @FareedZakaria more like Fareed n others doesn't have a choice. Wolf packs sense the top dog and follow him 😆😆😆😆😆,1.236,Positive
5.12773e+17,Positive,RT @BestHairstyIes: This hair please 😌 http://t.co/u5076sqbRt,0.484,Neutral
5.13668e+17,Neutral,@katieeeeeeeG who's this about😳,0.018,Negative
5.11988e+17,Neutral,shit dont feel the same man 😏,0.332,Negative
5.13792e+17,Positive,Tell me how you want it😯 I'm on it😏😏,0.793,Neutral
5.14979e+17,Negative,@JuicyJalyn she look like she Bailey sister 🙈😂,0.654,Positive
5.1162e+17,Neutral,RT @z_slave123: This winter I will have no life other than work and school 💰,0.256,Positive
5.13073e+17,Negative,@SEBTSB ew omh😂😂,0.442,Neutral
5.13024e+17,Positive,I think I'll flaunt these piercings tonight ............. 👀,0.063,Negative
5.12245e+17,Positive,@Marvin_Scholz 😳 that sounds even better! Are you not a trainer at the university anymore,0.018,Negative
5.11705e+17,Neutral,"@jasonhorner Hang on, I’ll upload my SSN card and birth certificate 😜",0.456,Positive
5.12825e+17,Positive,Yall can have these bum niggas back 😘,0.702,Negative
5.12818e+17,Positive,RT @casey_owens21: Proud Pirate alum! 💀☝️ way to take care of business!,-0.208,Negative
5.1378e+17,Negative,@BeckiePowell I've literally just been crying over the exact same! Reminded me of grandad &amp; how cute he is😅💞,0.9219999999999999,Positive
5.13711e+17,Neutral,I jarie waiting for you 😔,-0.146,Negative
5.13523e+17,Positive,"Hearts in my cup of coffee #Love #Blake #Latte #Chocolate ★🍵 💚 @ Blake, Puerto Madero http://t.co/Dwa45Ddvq8",1.08,Neutral
5.13495e+17,Positive,@DevinJohnson033 @Lillbitofheaven ily dev 💕,0.633,Neutral
5.11886e+17,Neutral,@ImSitiNurAtikah ahah takpe la. You guys go ahead :-) Tomorrow i want go normal timing😂 malas nak bangun cepat,0.221,Positive
5.1445e+17,Neutral,@BigRome 🚨 New Music Alert 🚨 Must hear  @tyree23p &amp; @tah_215 - Hot Nigga Freestyle 🔥 straight #barz #support https://t.co/pePY8ZaEGf,1.4860000000000002,Positive
5.1315e+17,Positive,To odiando lol 😡😡😡😡😡,-0.5189999999999999,Negative
5.11643e+17,Neutral,"HEY BABY!!😍😍
@camilacabello97 
PLEASE FOLLOW ME ! 😭😭😭
I LOVE YOU 😍 😍😭 6X",2.3400000000000003,Positive
5.13668e+17,Negative,Still recovering from Beyoncé last night😍😘 #beyhangover,1.38,Positive
5.1417e+17,Neutral,“@LifeofaPrincess: I WOULD DIE OF HAPPINESS 😭😍 http://t.co/brskPMUU4M”👏👏,0.5850000000000001,Positive
5.12633e+17,Positive,"┊　┊   ┊　┊
┊　★   ┊　★
☆　　　☆

🌙Michael Clifford from 5sos🌙

if you see this
please follow me?
I love you loads Michael

@Michael5SOS 

2742",1.242,Neutral
5.14025e+17,Neutral,"RT @ABRACCO: Wish I was there........😡👊
http://t.co/mcLU6YfsBr",0.05600000000000002,Negative
5.13013e+17,Negative,My work schedule on my bday &lt; 👎,-0.19,Positive
5.11872e+17,Neutral,If i offend you please tell meh; i'm chill like that 😊 (unless you are offended cause i talk about Jesus) 👌❤😁,1.659,Positive
5.12394e+17,Positive,RT @miilkkk: Android users watching everyone download iOS 8 like 😂😭🙌 http://t.co/zNScvPRzOd,0.6880000000000001,Neutral
5.1269e+17,Neutral,"STOP WHAT YOU'RE DOING AND GO WATCH #NashNewVideo OF MY ANGEL @Nashgrier W/ @HayesGrier
 》http://t.co/2llWnl1r9A《   
#NashvsHayes 😍 💕 130",1.311,Positive
5.11729e+17,Neutral,"RT @17blackstyIes: ""I met one direction"" 😭🙏 http://t.co/in5o3VaAp0",0.32499999999999996,Positive
5.12767e+17,Negative,My love for Kip Moore might be borderline homosexual but whatever 💁,0.328,Positive
5.14756e+17,Neutral,RT @L_Washington_: People wanna see you doing good but never better. 💯,0.121,Positive
5.1428e+17,Neutral,@saraaaahb_ watch it 😈,0.268,Positive
5.13531e+17,Negative,@Mitch32Andrade 😂😂 When I play the same then you bitch. There's a tweet to prove it too but it's Rec ball chill I was just messing.,0.442,Positive
5.12756e+17,Negative,RT @kissmenxrry_: “@SincerelyTumblr: when bae has a headache http://t.co/RQhAi8382q” 💕,0.633,Positive
5.12959e+17,Neutral,"Refreshhh banget 😊😃😚😌😌😉✌ (with @tanjiltanzilal, @JaneChristin, and @Auliarifki at NAV Karaoke - MX Mall) — https://t.co/GTyzjtTL16",3.35,Positive
5.12321e+17,Neutral,"@SoNasty5 ✊ “@GlobalDanceFest:
Get tickets before they sell out: http://t.co/pk8ExRIgun http://t.co/Neq05dcOxQ”",0.433,Positive
5.13562e+17,Negative,RT @t_aviaaa: I really love my avi 😭😻,0.531,Positive
5.12819e+17,Neutral,RT @jhajdinjak: Surprise early screening of @MazeRunnerMovie for this man's birthday☺ #CutestSurpriseRight #ImDaBessss 💁 http://t.co/oPzKOb…,0.328,Positive
5.13525e+17,Positive,“@Sexualgif: me when I get my own house 💁 http://t.co/siQIkGHpbm” every fucking day,0.328,Negative
5.11705e+17,Neutral,@itschillstyles it's basically a picture with one of my fans 💁,0.328,Positive
5.13559e+17,Neutral,🍩dd future type of night 🎧🍩💁,1.5370000000000001,Positive
5.13829e+17,Neutral,@gubbiriley look what I found 😘 http://t.co/U2ffKSl7C7,0.702,Positive
5.14262e+17,Negative,The Stupid Things I Do 🙈 I Do It For You 😩😘😍,1.4449999999999998,Positive
5.11574e+17,Neutral,Can @MarvinHumes come and DJ at Pozition in Hull one day please 👍👍,1.044,Positive
5.15002e+17,Positive,"✘😊✘
@Real_Liam_Payne 
Hi Liam!
I'm so excited for the new album
&amp; It would make me so happy
If you followed me!
I love youuu (:
#FOUR 
✘😊✘18",1.29,Negative
5.12676e+17,Neutral,@Nashgrier #NashNewVideo #NashvsHayes follow me🍪🍪🍪🍪🍪,0.9990000000000001,Positive
5.11936e+17,Neutral,"🐒🐒🐒🐒🐒🐒🐒

baby cakes @JaiBrooks1 
if you see this follow me 
just take a second 
i love you with all my soul 💘

🐒🐒🐒🐒🐒🐒🐒 14",3.9530000000000003,Positive
5.12313e+17,Neutral,“@adriannaiata: @uce_INA ; the little one is so handsome! 😍” nigga what about me?😒😕😂😂😂,0.5660000000000001,Positive
5.14211e+17,Negative,"RT @GorgeousDiior: We Be 15, 16, 17+ Stressing Like We 40😧😫",-0.211,Positive
5.12251e+17,Neutral,RT @WORLDSTARVlNE: HE FR TOOK ONE FOR THE TEAM 😂 http://t.co/jCFCQLQKiH,0.221,Positive
5.12338e+17,Neutral,Our new neighbours are such twats 😄,0.422,Positive
5.14415e+17,Positive,It feels so nice to sleep in 😴,-0.081,Negative
5.14158e+17,Neutral,I got a shot 💉,0.375,Positive
5.14496e+17,Neutral,"""They got nothing on you Cody. 
Nothing on you "" 
Fucken mike 😂😂",0.442,Positive
5.11989e+17,Neutral,RT @basebalgf7: So who wants to make these for me. #Yum ⚾️❤️ http://t.co/CZja6KaNck,-0.042,Positive
5.11599e+17,Neutral,"🌸💫🌸💫

hi calum hood from 5sos
I love you more than anything
can you follow me?
it would mean the 🌏 to me

@Calum5SOS @5SOS 

🌸💫🌸💫

120,080",5.016,Positive
5.12964e+17,Negative,Always in somebody's business 😂😂,0.442,Positive
5.14615e+17,Neutral,"@Rihannaisbae100 like I said, I never mentioned anything about hating her. ✌️ bye bish! 😘😘",1.404,Positive
5.12237e+17,Negative,"@Lucas5SUS dis me: 👠
dis u: 👡",0.881,Positive
5.12448e+17,Neutral,@tajuanp15 😤 and my boy @iwear_camoS he on dat,-0.211,Negative
5.11595e+17,Neutral,@Preston_K41 @iNinjaSpade @iNinjaPoker @iNinjaHeart hopefully @the_poker_joker takes out @hsrogg and @robbrereton at same time 👍,0.522,Positive
5.11712e+17,Neutral,@Am_Dopee @MikeFulbreezy I wasn't going to 😊,0.645,Positive
5.11837e+17,Neutral,RT @crump_natalie: My face just aged 6 years and I suddenly got a six pack. 😂😂@KevinHart4real  🔥#BestHourOfMyLife #INeededThat,0.5820000000000001,Positive
5.11902e+17,Neutral,@xhameex Same I can't say anything more than that tbh. 😏,0.332,Negative
5.12965e+17,Negative,@dafa_hoo lullzz...! confused ho tum pta nae q 😓😫,-0.22699999999999998,Neutral
5.13824e+17,Positive,Approved by friends check ✔️ 😁😁,0.9,Neutral
5.11876e+17,Neutral,@AyeeeItsWade no way 😂,0.221,Negative
5.14072e+17,Negative,I'm still in my PJ lol let me get tf up 😂👊,0.45,Positive
5.14464e+17,Positive,RT @InnocentLaTre: The game has changed 😂💀 http://t.co/4TqPV5eqCY,0.013000000000000012,Negative
5.11719e+17,Positive,Is there anything cuter then this? #sisterhapsdog 🐶 http://t.co/VBvT9GE8lt,0.588,Neutral
5.12788e+17,Neutral,“@_ForeverOne: @igobyjay_ you asked how to my your keyboard a certain color and im assuming you mean on your phone right lol”she stupid 😂,0.221,Negative
5.12542e+17,Positive,"""@eddievanbossu_: One day I fell asleep so hard I got hurt..."" ah??? 😂😂😂😂😂",0.663,Negative
5.14088e+17,Neutral,@Jaanaasiaa 😂😂😂😂 well I know that's def gonna be the case with me,0.663,Positive
5.11691e+17,Positive,@DariCampbell harsh😅,0.18,Negative
5.1446e+17,Negative,"Nail shop calling my name, Friday 😪",-0.081,Neutral
5.14133e+17,Negative,Got a busy week this week including working with The talented @BenEarth tomorrow on some personally created music just for me😉🎶 #MJ #heehee,1.0030000000000001,Positive
5.11477e+17,Negative,5 am start for an early morning workout. #dying 💪🏃,0.9710000000000001,Positive
5.11748e+17,Positive,RT @Gottiii_: im going outside.. Who wanna cum?😂,0.221,Negative
5.13373e+17,Neutral,👉👉👉 KRIMINAL- LOVE ME NOMORE FREESTYLE by Big Krimmy on #SoundCloud https://t.co/8sJXXc8AvE 🔥🔥,1.4620000000000002,Positive
5.14372e+17,Neutral,hollllll I'm mean and I don't care 😭💅,0.30300000000000005,Negative
5.14489e+17,Neutral,@lexuscierra it's really not. 😂😂,0.442,Negative
5.14465e+17,Negative,Kids in BC had to suffer for a while without education coz the damn teachers were protesting! Today was their First day of school! 👍,0.522,Positive
5.13126e+17,Neutral,"@Zamnnbree_ @canxdixce 👏👏👏 if I wanted serious I would've agreed , so I see your point",1.5630000000000002,Positive
5.13409e+17,Neutral,RT @_Vixennn_: Whole time I been thinking today was Sunday ! 👀,0.063,Positive
5.14707e+17,Neutral,@CdoubleOP_13 yeah I miss puking every time we go hard. 😂,0.221,Negative
5.1321e+17,Neutral,@Almightyziz nah 😂 ima show you in school 😩,-0.147,Negative
5.1187e+17,Neutral,RT @petewentz: So hot in the valley rn 🌴💀,0.32600000000000007,Negative
5.14596e+17,Neutral,lol damn 😳🙊,0.47900000000000004,Negative
5.12545e+17,Neutral,@JeeminPark13 @Apinkjeunjji @maknae_kaeun then why did you act like a kid sometimes? 😒😒,-0.75,Negative
5.14936e+17,Positive,hey sugaaa 💄 http://t.co/xGGmWLesH9,0.455,Neutral
5.14093e+17,Neutral,RT @Ashton5SOS: My dudes ☺️🎸👽 http://t.co/HDWyQPM64h,0.8500000000000001,Positive
5.11822e+17,Neutral,“@Derek_Loretto: My dad thinks he's funny http://t.co/Irbr1MhA9i”hahahaha 😩😂,-0.147,Negative
5.13494e+17,Neutral,"@xstefaniewelchx you was just like ""f"" no 🙅🙌",0.3540000000000001,Negative
5.15127e+17,Positive,RT @ShawnDTG_: @TheRealPYT___ Follow Her 💯,0.121,Neutral
5.14115e+17,Neutral,@Megan_Rosalina1 itchi teriyaki by the winco that close to firstenburg 😊,0.645,Positive
5.13475e+17,Neutral,"-  it takes two to be ina relationship   , ✌👫💁👏",1.108,Positive
5.12396e+17,Neutral,RT @Drew_Large8: @pkrueger10 litterly right down the street from you ✋,0.127,Negative
5.1172e+17,Neutral,waiting for ur gym buddy like..... @Andrewcinnabonn 😂 http://t.co/OzU3zpXYBS,0.221,Positive
5.14972e+17,Neutral,RT @serenitysbeauty: I only twerk in my room by myself. Never in front of people 😂,0.221,Negative
5.13753e+17,Neutral,Me &amp; my beautiful HC date lastnight @DanceMadison7 😊💋 http://t.co/thn2ahC80w,1.338,Positive
5.15082e+17,Positive,Play// Goapele💕,0.633,Neutral
5.1464e+17,Positive,RT @Sneaky_Dro: [Mixtape] YTS - Duke Da Beast via the Spinrilla App. Jammin! 🎵🎧🎤 @DukeDaBeast,1.416,Neutral
5.128e+17,Positive,"@KeatonStromberg ✖🍕🎮✖🍕🎮✖

HEY MY LOVE FOR YOU IS BIGGER THAN YOUR PENIS

IF YOU SEE THIS PLS FOLLOW ME :(

ILY♡ keaton
✖🍕 🎮✖🍕 🎮✖227",3.4480000000000004,Neutral
5.131e+17,Neutral,"I MISS YOU, but I'm not going to text you first because I wanna see if you miss me more💜💜",1.312,Positive
5.13162e+17,Neutral,@CummingsMeg kier-bow 😂,0.221,Positive
5.14618e+17,Positive,@BeairdEmma will you stop like making me cry bc your doing a good job😪 love you sis❤️,-0.081,Negative
5.14009e+17,Positive,RT @jkranzberry5: DOES ANYONE HAVE GREEN FACEPAINT?!?! 🙏🙏💚💚,2.154,Neutral
5.1271e+17,Neutral,Kenza lounge. This is just half of it. 💯👌 http://t.co/CZXv0LYxaP,0.6849999999999999,Positive
5.12374e+17,Positive,"“@OFFICIAL_JUBOI: ""@zizihassen: Hate is baggage."" Aint that the truth!” 👌",0.564,Negative
5.13724e+17,Positive,RT @kd_made: Church or no church I still love god 🙏💯,0.5389999999999999,Neutral
5.12325e+17,Neutral,"💀 🌿 💀 🌿 💀

Luke Hemmings from 5sos,
You are my sunshine 🌞
Please be my 1/4
You would make me so happy
Can't wait untill May 18

@Luke5SOS j",0.722,Positive
5.11671e+17,Negative,😂😂😂Lmaoo the crowd so dead to soulja boy,0.663,Positive
5.11634e+17,Positive,Fat asses attract me 😻🙈,1.057,Negative
5.13123e+17,Neutral,@mackenzy_rose I'll ask! My stepmom work full time all week😓,-0.081,Negative
5.1171e+17,Negative,RT @NikolasKimble: #oomf is so bad 😍😩🙊,0.7710000000000001,Positive
5.14816e+17,Neutral,@SugarfireStChuk The Big BBQ.  And now I'm getting even hungrier than I was before I saw your burnt end Sammie. 😎,0.493,Positive
5.13078e+17,Neutral,"Nice save Malori 😏
Lol not.",0.332,Positive
5.14083e+17,Neutral,Kenny this Kenny that 😤😤😤😤😤😤,-0.633,Negative
5.13859e+17,Neutral,I wonder if cam turns some of his fans notifications on? 😒,-0.375,Negative
5.14611e+17,Neutral,RT @_BeauteNoire: lifetime goal 👼 http://t.co/X0e4Xi9HLL,0.343,Positive
5.12619e+17,Neutral,RT @TheTumblrPosts: what 😂 http://t.co/5viUZHMucI,0.221,Positive
5.11647e+17,Neutral,Shout out to @shannnimal for her tatty support 💀,-0.208,Negative
5.13535e+17,Neutral,"""are you a beaver cause damn"" 😂😂😂",0.663,Positive
5.14997e+17,Positive,I like this emoji ➡😧,-0.065,Neutral
5.13474e+17,Neutral,RT @PosiLilSunshine: u are a flower. u have to grow through some dirt before u can blossom. 🌼,0.811,Positive
5.12022e+17,Negative,“@ITYB_RDiddy: Sisqo has a new song out 😂😂😂 nah foh”lmfaoooooo never,0.663,Positive
5.14487e+17,Neutral,RT @RafiAhmed_: These nudes 😂😂😂😂😂 http://t.co/9zatrXNoP7,0.663,Positive
5.14103e+17,Neutral,Sisters wedding 💒,0.667,Positive
5.13833e+17,Neutral,"RT @mattespin0saaa: 🌺Rt for an indirect.🌺

its free but a follow would be nice ;) http://t.co/ez35LXwJB3",1.12,Positive
5.11712e+17,Neutral,"🔱SneakPeak From @wizzolx Dropping Saturday, September 20Th.2014😎😤🔥🔥🔱 http://t.co/DhwQyGXjIR",0.728,Positive
5.11675e+17,Neutral,RT @5SOS: a heap of #5SOSDERPCON comps are now up on our website! make sure you signup if ya want info 😁 http://t.co/9YfxE2eCcL http://t.co…,0.45,Positive
5.14398e+17,Negative,RT @PrettyGirlKassh: Some black girls shaved the side of their hair in 2008 and it still hasn't grown back.☕️🐸🍵,0.584,Positive
5.12386e+17,Neutral,"I just walked by my brother in his room and all I heard was him talking to his phone.. He said ""Anaconda music video"" 😭😭😭😭😭😭",-0.279,Negative
5.14149e+17,Negative,"I can't walk with Nathan &amp; Phow, they're too much😂",0.221,Positive
5.13221e+17,Neutral,"RT @terrellb_3: Got the DUB 3-0 baby, #LakesNation #7 😈🏈🔶🔷",1.4340000000000002,Positive
5.12815e+17,Neutral,So my moms about to whoop my sister and I was gonna be generous and bring my mom the cloth belt... But nah imma bring her the leather 1 😏👊,0.561,Positive
5.11554e+17,Negative,RT @insidemyworld71: Abby is giving Victoria a migraine. 😆 #YR,0.412,Positive
5.116e+17,Neutral,"NGWANU “@Lepidopteran__: Celfieeeeee because, vain bunny👯 http://t.co/SzwB6OkSLY”",0.445,Positive
5.12887e+17,Neutral,"RT @DevoteesGENSAN: ""@DevoteesBICOL: .@bernardokath for BTS of #StarMagicCatalogue2015 (13-15) 👸
#StrongForKATH 👑 http://t.co/njlzOQzfGd""",1.323,Positive
5.13431e+17,Positive,hair gone be laid. 🙌💁😍,1.5660000000000003,Neutral
5.14308e+17,Positive,1 minute🙌,0.56,Neutral
5.11708e+17,Negative,RT @Bschroll: #IndiansTwitter tonight. 😢 http://t.co/MNfYY1dGo1,0.007,Neutral
5.13806e+17,Neutral,RT @Drrake: sometimes we should be really really grateful...😥💔🙏 http://t.co/l4pAenwy5x,0.419,Positive
5.14949e+17,Positive,"My mom tells me if you're cold, bundle up and stop sneezing on me! @WafaFlofa_Flame our parents def have the same blood lol 😂😷",0.04999999999999999,Negative
5.13294e+17,Neutral,RT @pauljohniee: #TeamFollowBack 📢 FOLLOW this cutie @juliasanchez03 and follow me too.  😃😃,1.616,Positive
5.11753e+17,Neutral,RT @maxfuentes_: @YaBoiLazyBlazy @eddieloco73 😂😂😂 Blaise Spanish 👌👌😂😂,2.233,Positive
5.11978e+17,Neutral,RT @fIirtation: Honestly all I want right now 😩 http://t.co/3B3H5ORa5x,-0.368,Negative
5.1471e+17,Neutral,@TheVampsJames Hi ! I know you love to make people smile and to make someone smile then please FOLLOW me. Love you.😋 x726,0.634,Positive
5.14548e+17,Neutral,I want a dog but then I don't 🐶,0.588,Negative
5.14489e+17,Neutral,"🌀🈹🏪🍱😴☔️😎💻👼 💤
🔪😻💅🎐👽👅✨🙌🔋💿

@Luke5sos
please FOLLOW me
love you so much (ᵕ́ૢ‧̮ᵕ̀ૢ) 

💥  x1107",5.191,Positive
5.12814e+17,Neutral,#MyBiggestRegret is breaking up with _____________ 💔,-0.122,Negative
5.14441e+17,Neutral,RT @Alison_Eden: Vote @TheMakaylaLewis for this year's homecoming queen! #makaylaforqueen 💙👸 http://t.co/WxxfD6b30F,1.354,Positive
