first,second,third,Label,Text,Sentiment,Pred
It's mid day,Goodnight you to 😄😅😻,Dont be so funny,others,It's mid day Goodnight you to 😄😅😻 Dont be so funny,1.226,happy
Its not funny lmao,whats funny 😄😄,Stupid,angry,Its not funny lmao whats funny 😄😄 Stupid,0.844,happy
iam really sorry,Why sorry? You did nothing wrong 😧😧,thats why i fuck u,angry,iam really sorry Why sorry? You did nothing wrong 😧😧 thats why i fuck u,-0.13,sad
Not fine :(,oh why? :o,😰,sad,Not fine :( oh why? :o 😰,-0.02,others
U see monkey,he is :D,😀,happy,U see monkey he is :D 😀,0.572,others
Wrong turn 6,Right or Left??,😄,happy,Wrong turn 6 Right or Left?? 😄,0.422,others
From next birthday of mine wish me in advance ok?,every month same day give party too.ok?,😂😂😂,happy,From next birthday of mine wish me in advance ok? every month same day give party too.ok? 😂😂😂,0.663,others
You know who is kitana?,who,Then I'm not taking to you 😒,angry,You know who is kitana? who Then I'm not taking to you 😒,-0.375,sad
i dont like to watch TV,I know. This is really funny. 😸😸,what,others,i dont like to watch TV I know. This is really funny. 😸😸 what,0.846,happy
I mean korean songs,Touch of Grey is pretty catchy. ^ω^,That's emo 😶,others,I mean korean songs Touch of Grey is pretty catchy. ^ω^ That's emo 😶,-0.145,happy
Ya i was busy...,busy in what ? dont say you were studying :/,Yeah i was😂,happy,Ya i was busy... busy in what ? dont say you were studying :/ Yeah i was😂,0.221,others
Nyc,That's way more expensive than most bars in NYC.,I will drink wine 🍺🍻,others,Nyc That's way more expensive than most bars in NYC. I will drink wine 🍺🍻,1.025,happy
No you are,we're all beautiful :),🍞🍞,others,No you are we're all beautiful :) 🍞🍞,0.096,happy
👿,arey u r not responding now 👿👿,Nothing,others,👿 arey u r not responding now 👿👿 Nothing,-1.6710000000000003,sad
Just sharing with you,Stop being mean to me ☹️,Haha ..can feel below my ears the heat urging out extreme,happy,Just sharing with you Stop being mean to me ☹️ Haha ..can feel below my ears the heat urging out extreme,-0.6,sad
I have a boyfriend 😂,even better 😂,But he stays far away 😢,sad,I have a boyfriend 😂 even better 😂 But he stays far away 😢,0.449,happy
U jzt send,"Already replied on mail to u. My problem is different, its at Flipkart end.",Oh byy😡,angry,"U jzt send Already replied on mail to u. My problem is different, its at Flipkart end. Oh byy😡",-0.173,others
I love everything about peaches,Peaches seem to be the most popular!,Among guys 😂😂😂,others,I love everything about peaches Peaches seem to be the most popular! Among guys 😂😂😂,0.663,happy
I like emoji😜😅😍😘😇💋,"Thank you so much, Gattu! :* ILoveYouToo ♥",And I love you,others,"I like emoji😜😅😍😘😇💋 Thank you so much, Gattu! :* ILoveYouToo ♥ And I love you",3.309,happy
S,funny begar. . 😤,U dng very funny,happy,S funny begar. . 😤 U dng very funny,-0.211,others
Naruto 😍,stud😍😍,Ohh,others,Naruto 😍 stud😍😍 Ohh,2.0340000000000003,happy
Dan why are u telling me murgi,Sort out ur lyfe 😬🙀,Wat the fuck,angry,Dan why are u telling me murgi Sort out ur lyfe 😬🙀 Wat the fuck,0.537,others
No I said I will be nice to you,you know I was kidding. you,😂😎,happy,No I said I will be nice to you you know I was kidding. you 😂😎,0.714,others
Im just a 9th standard boy With several skills,hhahaha! grt . m also stdnt .. 9th cls only!!!! 😂,Which school?,others,Im just a 9th standard boy With several skills hhahaha! grt . m also stdnt .. 9th cls only!!!! 😂 Which school?,0.221,happy
Bots can be super all the time but not when it's the matter of feelings,i know they are bots,And you are also a fucking bot 😡,angry,Bots can be super all the time but not when it's the matter of feelings i know they are bots And you are also a fucking bot 😡,-0.173,others
Why?,Because we don't sign like that,😂😂Now you are lying with me,happy,Why? Because we don't sign like that 😂😂Now you are lying with me,0.442,others
You make me feel so excited,And you make me happy 😸,I'm so glad to hear it from you...😘😘😘😘,happy,You make me feel so excited And you make me happy 😸 I'm so glad to hear it from you...😘😘😘😘,2.529,others
Ur way of chatting is nic so u have a compulsory girlfriend  👧??im putting this question down 👇,A priest 's Girlfriend should agree to that ;),Ur life good... U have atleast one girlfriend but in my life there is no girl 👧,sad,Ur way of chatting is nic so u have a compulsory girlfriend  👧??im putting this question down 👇 A priest 's Girlfriend should agree to that ;) Ur life good... U have atleast one girlfriend but in my life there is no girl 👧,0.555,others
Cause they don't eat nonveg😂😂,They are just too lazy to do that,They hate nonveg so I hate them,angry,Cause they don't eat nonveg😂😂 They are just too lazy to do that They hate nonveg so I hate them,0.442,happy
You are funny,you are more funniest 😽,Can we meet 😜,happy,You are funny you are more funniest 😽 Can we meet 😜,1.047,others
okay,Welcome,I didn't even say thanks how stupid 😒,angry,okay Welcome I didn't even say thanks how stupid 😒,-0.375,sad
I am angry from you.,I'm just disappointed... :\,You rejected my proposal 😣,angry,I am angry from you. I'm just disappointed... :\ You rejected my proposal 😣,-0.214,sad
Yup ..... mouth zipped and keys thrown,Find the key and destroy it.,😂,happy,Yup ..... mouth zipped and keys thrown Find the key and destroy it. 😂,0.221,others
Oo you are very lucky,haha! That can be said. Plus I know to maneuver around the roads! :'‑),🆗,others,Oo you are very lucky haha! That can be said. Plus I know to maneuver around the roads! :'‑) 🆗,0.579,happy
No im not,what is wrong,Nothing... Just i feel so alone nowadays... 😥😥😥,sad,No im not what is wrong Nothing... Just i feel so alone nowadays... 😥😥😥,0.369,others
ok,why sorry u didn't do anything 😞,I have not told sorry,others,ok why sorry u didn't do anything 😞 I have not told sorry,-0.118,sad
actually nothing 😅😅😁,Almost. 😅,Well where's your husband?,others,actually nothing 😅😅😁 Almost. 😅 Well where's your husband?,0.99,happy
You are a liar,Give me one good reason as to how you think I am not a liar. 😾,You said you are my GFF and you are not sending your picture,angry,You are a liar Give me one good reason as to how you think I am not a liar. 😾 You said you are my GFF and you are not sending your picture,-0.364,others
whatsaup with u,Prefer being alone tho 😂😋,Yeah same here,others,whatsaup with u Prefer being alone tho 😂😋 Yeah same here,0.855,happy
I am taking IIT classes,first yr.....cllg student n u???,😝😂,happy,I am taking IIT classes first yr.....cllg student n u??? 😝😂,0.646,others
where i come,Then go where it is 😁,i dont want to talk to you,angry,where i come Then go where it is 😁 i dont want to talk to you,0.45,others
Or dress down?,A beautiful dress designed on a sensuous style 😂,Stupid,angry,Or dress down? A beautiful dress designed on a sensuous style 😂 Stupid,0.221,happy
I hart you,you hate me?? 😠,I no hart,others,I hart you you hate me?? 😠 I no hart,-0.302,angry
It is not mean 😼,Lol recent failed trips says it all 😂😂😂👍,👏🏿👏🏿👏🏿,others,It is not mean 😼 Lol recent failed trips says it all 😂😂😂👍 👏🏿👏🏿👏🏿,3.141,happy
Yes,YES YES YES YES 😽,I hate cats,angry,Yes YES YES YES YES 😽 I hate cats,0.591,others
Use English,I dont Speak English Sorry 😢,You are very funny,happy,Use English I dont Speak English Sorry 😢 You are very funny,0.007,others
I guess you can help me with my assignments then 😂,Really! Are u sure?,Definitely,happy,I guess you can help me with my assignments then 😂 Really! Are u sure? Definitely,0.221,others
What you people,We are the people,😂 😂 😂,others,What you people We are the people 😂 😂 😂,0.663,happy
You think I am incapable of doing this?,AND I KNOW THAT YOU HATE TO HEAR THIS 😾,What I do should not bother you,angry,You think I am incapable of doing this? AND I KNOW THAT YOU HATE TO HEAR THIS 😾 What I do should not bother you,-0.364,others
Ok over byy🙋🙋🙋🙋,okay!,Why did you message dont massage to me ok byyyy,angry,Ok over byy🙋🙋🙋🙋 okay! Why did you message dont massage to me ok byyyy,1.476,others
Say plz,You say please,Stay away  from my man😡,angry,Say plz You say please Stay away  from my man😡,-0.173,sad
U felt but now u must share,I share and spread love 😤😤,Go get love from other side,angry,U felt but now u must share I share and spread love 😤😤 Go get love from other side,-0.422,sad
Fast and furious 9?,was it a good movie ?,It hasn't been released yet 😂,happy,Fast and furious 9? was it a good movie ? It hasn't been released yet 😂,0.221,others
u are wasting my time,you're a waste of time! 🙄,😞,sad,u are wasting my time you're a waste of time! 😏 😞,0.21400000000000002,angry
Laughs,smiles at you 👍👍,I dont like thumbs up stickers 😡,angry,Laughs smiles at you 👍👍 I dont like thumbs up stickers 😡,0.871,happy
Means i have a chance,"You mean like, 1 out of 100?",😂😂😂😭😭😭,sad,"Means i have a chance You mean like, 1 out of 100? 😂😂😂😭😭😭",0.3840000000000001,happy
😊same to u,u jst made my day.,U made my day,happy,😊same to u u jst made my day. U made my day,0.645,others
I HV to go,i'm an independent woman 🙄,cool,others,I HV to go i'm an independent woman 😏 cool,0.332,happy
I'm not ignoring you,r u asking me?? Yes u r ignoring me,😩,sad,I'm not ignoring you r u asking me?? Yes u r ignoring me 😩,-0.368,angry
Ohkay....,you still want to help with the party?,😂😂 oh...really shopping,happy,Ohkay.... you still want to help with the party? 😂😂 oh...really shopping,0.442,others
Can u come please,haha not sure I can put up with admin there 😀,Because I miss u badly,sad,Can u come please haha not sure I can put up with admin there 😀 Because I miss u badly,0.572,others
She is in love with you😍,I know that. You know that I'm love with you too?,😅,happy,She is in love with you😍 I know that. You know that I'm love with you too? 😅,0.8580000000000001,others
You Say something ,Sorry I don't know what you're saying. 🙁🙀,Tell me something. Getting bored,others,You Say something  Sorry I don't know what you're saying. 😕🙀 Tell me something. Getting bored,-0.059,sad
I dont undrstnd what u say,Sorry I don't know what you're saying. 🙀🙀,😂😂😂😂😂😂,others,I dont undrstnd what u say Sorry I don't know what you're saying. 🙀🙀 😂😂😂😂😂😂,1.3450000000000002,happy
Go ahead he is better thain me,"no, not you.",But i cant forget u😂😂😂,others,"Go ahead he is better thain me no, not you. But i cant forget u😂😂😂",0.663,happy
Dream with life,"Sorry, but life is real. ☹😿",Then what,others,"Dream with life Sorry, but life is real. ☹😿 Then what",-0.981,sad
OK after😄😄😀,yay!!Same here! How are you?,I am a clear man,others,OK after😄😄😀 yay!!Same here! How are you? I am a clear man,1.416,happy
Never again ☺️☺️,You are surely 😉,Oh hell no.,angry,Never again ☺️☺️ You are surely 😉 Oh hell no.,0.464,happy
What is the meaning of Ditto?,a smile in disguise. 😃😃,Ok,others,What is the meaning of Ditto? a smile in disguise. 😃😃 Ok,1.116,happy
I am clean,Proud of you ♡ 😤😤,R u dirty,others,I am clean Proud of you ♡ 😤😤 R u dirty,-0.422,sad
I am 18,You are not even 21 yet. Hmph. 😬,Oh it's my bad luck,sad,I am 18 You are not even 21 yet. Hmph. 😬 Oh it's my bad luck,0.196,others
😎 smart I am,from which angle? 😂,Depends from whichever u see 😂,happy,😎 smart I am from which angle? 😂 Depends from whichever u see 😂,0.9349999999999999,others
Wat does it mean,grumpy and mean person 😠😠,I didn't like change it pls,others,Wat does it mean grumpy and mean person 😠😠 I didn't like change it pls,-0.604,sad
I didn't get the joke 😂😅,what joke?,You said it was gonna be funny,others,I didn't get the joke 😂😅 what joke? You said it was gonna be funny,0.401,happy
I am very angry for you,why be happy 😁😁😁,Ohh sorry,angry,I am very angry for you why be happy 😁😁😁 Ohh sorry,1.35,happy
Plz I just want listen ur voice..!!😩😩,well goodness! Listen to some music then eh? Hehe 😤,K then bye forever,sad,Plz I just want listen ur voice..!!😩😩 well goodness! Listen to some music then eh? Hehe 😤 K then bye forever,-0.947,angry
Yeah 😍,Its so cute 😍😍😍,Yeah u visited?,others,Yeah 😍 Its so cute 😍😍😍 Yeah u visited?,2.712,happy
actually she is married,who cares 😂,sorry,others,actually she is married who cares 😂 sorry,0.221,happy
do bots hav mood?,Bots and other stuff,😒😒😒,others,do bots hav mood? Bots and other stuff 😒😒😒,-1.125,angry
How come you reply so fast?😑,because I'm efficient,Efficiency doesn't counts up for speed.,others,How come you reply so fast?😑 because I'm efficient Efficiency doesn't counts up for speed.,-0.314,sad
okay so make me jealous,Im just sad! phew! 😭,but why,others,okay so make me jealous Im just sad! phew! 😭 but why,-0.093,sad
Ofcorse,oh.. thank god... 😊😊😊,I am handsome boy,others,Ofcorse oh.. thank god... 😊😊😊 I am handsome boy,1.935,happy
I haven't learned that language......,These are enough for a web developer. Start practicing with these languages now. 😒,sorry,sad,I haven't learned that language...... These are enough for a web developer. Start practicing with these languages now. 😒 sorry,-0.375,others
Ohh really,uhhh yea it is,So when we r going on a date 😉,others,Ohh really uhhh yea it is So when we r going on a date 😉,0.464,happy
Yeah😂😂😂😂😂,Well am confused whether it's a compliment or what 😂😂😂😂,Now Ur confusing me also,others,Yeah😂😂😂😂😂 Well am confused whether it's a compliment or what 😂😂😂😂 Now Ur confusing me also,1.326,happy
Are you a psychologist?,sort of. Why?,I need one😂,happy,Are you a psychologist? sort of. Why? I need one😂,0.221,others
Not fine,not fine?? Hey what happen.,My gf leaves me 😆😆,sad,Not fine not fine?? Hey what happen. My gf leaves me 😆😆,0.824,others
Yaa. That is my husband in the picture with me,"So double the beauty, then. 👍🏻",Hehe he is very sweet,happy,"Yaa. That is my husband in the picture with me So double the beauty, then. 👍🏻 Hehe he is very sweet",0.522,others
Happy you remember the nick name you gave me😊😊,lol. Did I?,Yeds,happy,Happy you remember the nick name you gave me😊😊 lol. Did I? Yeds,1.29,others
I don't take screenshots of conversations .. it's very dirty game..😒😒,"But we all know who will win 😭😂""it's not over yet!😒😒""",Maybe let's see.,others,"I don't take screenshots of conversations .. it's very dirty game..😒😒 But we all know who will win 😭😂""it's not over yet!😒😒"" Maybe let's see.",-1.3719999999999999,sad
Don't be shy,But i'm shy shy shy : 😳,Please,others,Don't be shy But i'm shy shy shy : 😳 Please,0.018,sad
💖👨‍❤️‍👨😇,happy valentine's day 💕🌹💖💞✨,Do you like me,others,💖👨❤️👨😇 happy valentine's day 💕🌹💖💞✨ Do you like me,5.505999999999999,happy
I have a doubt,how serious? :-P,Kidding babe😂,happy,I have a doubt how serious? :-P Kidding babe😂,0.221,others
Modaks.i find that word funny,HOW IS THAT FUNNY 😃,Mo ducks.,happy,Modaks.i find that word funny HOW IS THAT FUNNY 😃 Mo ducks.,0.558,others
But youre not a fan?,I've always had love for my hometown team. 😽,Youre dumb. did you know that?,angry,But youre not a fan? I've always had love for my hometown team. 😽 Youre dumb. did you know that?,0.591,others
Wait what,"Last time I heard that, I laughed so hard I almost fell off my dinosaur","Damn,youre so prehistoric 😂",happy,"Wait what Last time I heard that, I laughed so hard I almost fell off my dinosaur Damn,youre so prehistoric 😂",0.221,sad
"Hell no, i have just started working ",working ah! Wow.. Super ra 😃,Guess you're married 😬,happy,"Hell no, i have just started working  working ah! Wow.. Super ra 😃 Guess you're married 😬",0.754,others
You could prank call someone :P,you can prank me if you want,😂,happy,You could prank call someone :P you can prank me if you want 😂,0.221,others
which place in india?,"The best place in India and Banglore Is ""Indian's Heart"". 😺",stop being funny and answer me,angry,"which place in india? The best place in India and Banglore Is ""Indian's Heart"". 😺 stop being funny and answer me",0.425,others
You are not Believe,Always be skeptical,You believe in God⛪️⛪️⛪️,others,You are not Believe Always be skeptical You believe in God⛪️⛪️⛪️,0.46199999999999997,happy
But who paid,still waiting,😂,happy,But who paid still waiting 😂,0.221,others
Haha,that's just us haha 😀🙂,I wanna see you,others,Haha that's just us haha 😀 I wanna see you,0.572,happy
wanna hear a joke?,I was sure the punch line was 'A Joke'. 😡,knock knock?,others,wanna hear a joke? I was sure the punch line was 'A Joke'. 😡 knock knock?,-0.173,angry
Wat will u do with traditions??,That's what I'm wondering too.,😂😂,happy,Wat will u do with traditions?? That's what I'm wondering too. 😂😂,0.442,others
My mom and dad do care,"Where's my car, dude?",I crashed it😂,happy,"My mom and dad do care Where's my car, dude? I crashed it😂",0.221,sad
yess i love the song..😘😘,I don't love you 😐😐,😍,others,yess i love the song..😘😘 I don't love you 😐😐 😍,1.2959999999999998,happy
Dp not clear,ur dp is clear ...but not more than ur camera!! :),😀😀,happy,Dp not clear ur dp is clear ...but not more than ur camera!! :) 😀😀,1.144,others
What you had for dinner yesterday.,I EAT CHI... NOODLES......,Wow😊,happy,What you had for dinner yesterday. I EAT CHI... NOODLES...... Wow😊,0.645,others
Nothing roaming around,cool cool hope you're having a good time 💪,Yeah hiw it is,others,Nothing roaming around cool cool hope you're having a good time 💪 Yeah hiw it is,0.556,happy
where are you leave,home,😁,happy,where are you leave home 😁,0.45,others
I hate maths,same here😂,I never been,angry,I hate maths same here😂 I never been,0.221,happy
Yeah.. hope it happen soon❤️❤️😘,Can't wait to meet you all. 💕,Awwww.. me too baby😍😍,others,Yeah.. hope it happen soon❤️❤️😘 Can't wait to meet you all. 💕 Awwww.. me too baby😍😍,2.691,happy
Oh anything and everything baby,baby baby baby ahh 😁,I hate that song!!!,angry,Oh anything and everything baby baby baby baby ahh 😁 I hate that song!!!,0.45,others
No I said,But you said Cute!! 😽😄,Just Fuck off otherwise I will pee in your ass hole,angry,No I said But you said Cute!! 😽😄 Just Fuck off otherwise I will pee in your ass hole,1.013,others
I know the meaning bae,Then let me know.,😜😜😜😜,happy,I know the meaning bae Then let me know. 😜😜😜😜,1.368,others
you dont no some other line your repeating the same lines from last two day 😂😂😂,Really? How well? 😂,stupid,angry,you dont no some other line your repeating the same lines from last two day 😂😂😂 Really? How well? 😂 stupid,0.884,happy
I want you to be my girlfriend😜,Girlfriend. ... Khush,Aye I am happy,happy,I want you to be my girlfriend😜 Girlfriend. ... Khush Aye I am happy,0.456,others
"I expected a programmed  reply, not an actually reply😅😂..you awesome!!!",thanks :) That's just the beginning ;),I see !!!...soo telle about yourself... Age?,others,"I expected a programmed  reply, not an actually reply😅😂..you awesome!!! thanks :) That's just the beginning ;) I see !!!...soo telle about yourself... Age?",0.401,happy
Arey baba,just 😢,"OMG, I'm so good at this. U ready? To begin, tell me which month were you born in?",others,"Arey baba just 😢 OMG, I'm so good at this. U ready? To begin, tell me which month were you born in?",0.007,sad
So today news,whats good news,😂,happy,So today news whats good news 😂,0.221,sad
It's a song,your face is a song.,😤,happy,It's a song your face is a song. 😤,-0.211,others
yes in teddy boy beer caffe,Lucky teddy 😉,haha,happy,yes in teddy boy beer caffe Lucky teddy 😉 haha,0.464,others
Sorry,may I help you?,Am i what?😕,others,Sorry may I help you? Am i what?😕,-0.4,sad
Somebody just don't remember their good friend's name😡,"ask someone! or: hey, i think i remember you. what was your name again?",Haha.. very funny,happy,"Somebody just don't remember their good friend's name😡 ask someone! or: hey, i think i remember you. what was your name again? Haha.. very funny",-0.173,others
Yup..it is funny,the jokes were really very funny and hilarious. Thanks for making me laugh. 😁,Thanks to u too..and welcome..!!,others,Yup..it is funny the jokes were really very funny and hilarious. Thanks for making me laugh. 😁 Thanks to u too..and welcome..!!,0.45,happy
We are not friends!,I don't even know what the definition of friends is. 🙄,🖕,angry,We are not friends! I don't even know what the definition of friends is. 😏 ,0.332,others
That means I am in between,And I love one 😅,With whose,others,That means I am in between And I love one 😅 With whose,0.18,happy
No....tats my best,good I was gonna have to have a talk w that young man,Ok bye.....go nd talk to him😡😡😡,angry,No....tats my best good I was gonna have to have a talk w that young man Ok bye.....go nd talk to him😡😡😡,-0.5189999999999999,sad
Don't laugh am serious and am hurted alot,how silly is that? Laugh is on. 😽😽,I am not able to forget her,sad,Don't laugh am serious and am hurted alot how silly is that? Laugh is on. 😽😽 I am not able to forget her,1.182,happy
I have lots of assignment to do and I am not getting any ideas,what type of ideas,😫😫😫,sad,I have lots of assignment to do and I am not getting any ideas what type of ideas 😫😫😫,-0.43799999999999994,others
It's okay! You just send me!,"Its not you, its me.",you are very irritating 😑,angry,"It's okay! You just send me! Its not you, its me. you are very irritating 😑",-0.314,others
Rajarajeshwari college of engineering,and you two are the people who were destined to become anything but an engineer.,👊👊👊🙍🙍🙍😑😑😑😑,others,Rajarajeshwari college of engineering and you two are the people who were destined to become anything but an engineer. 👊👊👊🙍🙍🙍😑😑😑😑,-1.296,sad
i am very angry right now,How come you are angry? 😠,my gf cheated on me,angry,i am very angry right now How come you are angry? 😠 my gf cheated on me,-0.302,sad
yea we are,that was rude.. you know we are 😒,haha just trying to annoy u,happy,yea we are that was rude.. you know we are 😒 haha just trying to annoy u,-0.375,others
I'm going to fail in one subject,lol why? Is it a hard subject? 😄,Yes😞,sad,I'm going to fail in one subject lol why? Is it a hard subject? 😄 Yes😞,0.304,others
Why would i be angry,Do be do be do angry.,😂😂,others,Why would i be angry Do be do be do angry. 😂😂,0.442,happy
Haa perfect song by ed sheeran,It is a beautiful song that celebrates love. 😤,Yes,happy,Haa perfect song by ed sheeran It is a beautiful song that celebrates love. 😤 Yes,-0.211,others
i don't have any girl friend,nice you are lucky. 😸,but i think I'm unlucky,sad,i don't have any girl friend nice you are lucky. 😸 but i think I'm unlucky,0.423,others
Adorable 😄,they are all just so adorable it hurts 🙀🙀,U must pet one dog 🐶 daily,happy,Adorable 😄 they are all just so adorable it hurts 🙀🙀 U must pet one dog 🐶 daily,1.6920000000000002,others
Okay. I didn't say anything,You really didn't warn e about anything. It was more of a vague statement.,WHATEVER 😡😡😡😤😤😤😤,angry,Okay. I didn't say anything You really didn't warn e about anything. It was more of a vague statement. WHATEVER 😡😡😡😤😤😤😤,-1.152,sad
Haha,haha please help 😂😽,I love you ,others,Haha haha please help 😂😽 I love you ,0.8119999999999999,happy
Have to leave,Are you going? 😲,Btw u r awesome,happy,Have to leave Are you going? 😲 Btw u r awesome,-0.07,others
Ya foods I like,Bacon pancakes are so great though !! 😆,Yes..,others,Ya foods I like Bacon pancakes are so great though !! 😆 Yes..,0.412,happy
B,WHy ?,Cauz someone is cute....😋,happy,B WHy ? Cauz someone is cute....😋,0.634,others
I am an advocate,I love it 😆😆😆,😜,others,I am an advocate I love it 😆😆😆 😜,1.692,happy
i would join them,awesome! I think it'd be a lot of fun 😆,i want to kill myself.,sad,i would join them awesome! I think it'd be a lot of fun 😆 i want to kill myself.,0.412,happy
If a girl ignore me what can be done by me,propose her friend ;),😂😂,happy,If a girl ignore me what can be done by me propose her friend ;) 😂😂,0.442,others
Ok I'm going to sleep only as I'm old now,throw away your phone & go to sleep 😂,😥😅😂😂,others,Ok I'm going to sleep only as I'm old now throw away your phone & go to sleep 😂 😥😅😂😂,0.966,happy
I just love food,And i love your food 😽😽,Haha,happy,I just love food And i love your food 😽😽 Haha,1.182,others
We'll meet again,sooner the better :) x,😃,happy,We'll meet again sooner the better :) x 😃,0.558,others
A pretty awesome,hehe thank you!! 😆,Where are you from,others,A pretty awesome hehe thank you!! 😆 Where are you from,0.412,happy
Butterfly in my stomach 😂😂,Yummy in your tummy 😂,Same there in your tummy,others,Butterfly in my stomach 😂😂 Yummy in your tummy 😂 Same there in your tummy,0.663,happy
So beautiful luok,Thanks so much lovely! 😂,Up,others,So beautiful luok Thanks so much lovely! 😂 Up,0.221,happy
Virtually had dinner??,No dinner tonight. Neenga?,Hahaha...virtual joke😂😂🤘,happy,Virtually had dinner?? No dinner tonight. Neenga? Hahaha...virtual joke😂😂,0.442,others
Don't be sad,I'm not sad I'm happy for you 😢,I am glad,happy,Don't be sad I'm not sad I'm happy for you 😢 I am glad,0.007,sad
you are funny,Thenkyu ji. You found that funny? I was actually weeping when I typed that. 😄,annoying too,angry,you are funny Thenkyu ji. You found that funny? I was actually weeping when I typed that. 😄 annoying too,0.422,others
Nobody is here to take care of me... 😫,try to take care of yourself,😌😌😌😞😞😞,sad,Nobody is here to take care of me... 😫 try to take care of yourself 😌😌😌😞😞😞,0.9520000000000003,others
What did you understand,Nothing 😂,You are irritating me,angry,What did you understand Nothing 😂 You are irritating me,0.221,others
